Month,"Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore (Number of Rigs)","Crude Oil and Natural Gas Rotary Rigs in Operation, Offshore (Number of Rigs)","Crude Oil Rotary Rigs in Operation, Total (Number of Rigs)","Natural Gas Rotary Rigs in Operation, Total (Number of Rigs)","Crude Oil and Natural Gas Rotary Rigs in Operation, Horizontal Trajectory (Number of Rigs)","Crude Oil and Natural Gas Rotary Rigs in Operation, Directional Trajectory (Number of Rigs)","Crude Oil and Natural Gas Rotary Rigs in Operation, Vertical Trajectory (Number of Rigs)","Crude Oil and Natural Gas Rotary Rigs in Operation, Total (Number of Rigs)",Active Well Service Rig Count (Number of Rigs)
2007 February,1651,85,266,1466,346,369,1022,1736,2401
2007 March,1667,81,282,1461,342,395,1011,1749,2401
2007 April,1675,75,285,1461,355,399,996,1750,2375
2007 May,1671,77,282,1464,374,377,997,1748,2387
2007 June,1692,79,283,1483,377,397,997,1771,2381
2007 July,1698,79,285,1486,398,394,985,1777,2358
2007 August,1731,73,306,1492,430,383,991,1804,2408
2007 September,1718,65,302,1475,433,369,981,1783,2418
2007 October,1713,49,321,1435,427,337,997,1762,2395
2007 November,1737,61,341,1451,440,344,1014,1798,2408
2007 December,1749,62,338,1468,454,367,989,1811,2420
2008 January,1690,60,321,1421,447,357,946,1749,2476
2008 February,1709,56,331,1426,459,366,940,1765,2455
2008 March,1737,60,343,1444,485,348,965,1797,2457
2008 April,1765,64,358,1461,494,365,970,1829,2498
2008 May,1794,68,375,1478,527,379,957,1863,2546
2008 June,1834,67,383,1510,551,378,973,1902,2554
2008 July,1865,67,380,1543,568,384,980,1932,2567
2008 August,1920,67,397,1581,602,378,1007,1987,2611
2008 September,1942,72,417,1585,631,394,989,2014,2612
2008 October,1903,73,422,1542,635,380,961,1976,2591
2008 November,1872,63,426,1498,631,383,922,1935,2469
2008 December,1716,66,391,1380,610,345,827,1782,2342
2009 January,1487,66,328,1215,553,307,693,1553,2152
2009 February,1263,57,271,1037,486,256,579,1320,1947
2009 March,1059,46,225,867,432,221,452,1105,1825
2009 April,947,48,214,780,401,190,404,1004,1718
2009 May,864,54,187,723,379,164,375,918,1646
2009 June,848,47,194,691,384,170,342,895,1648
2009 July,893,38,245,675,401,173,357,931,1629
2009 August,949,31,279,691,425,174,381,980,1653
2009 September,976,33,293,704,433,191,386,1009,1579
2009 October,1011,33,312,722,468,182,395,1044,1613
2009 November,1071,36,362,734,522,189,396,1107,1625
2009 December,1136,37,404,758,562,195,415,1172,1625
2010 January,1225,42,433,822,617,212,438,1267,1706
2010 February,1305,45,446,892,665,231,454,1350,1726
2010 March,1369,50,471,933,708,225,486,1419,1754
2010 April,1426,53,508,959,751,228,500,1479,1816
2010 May,1464,49,541,960,779,229,505,1513,1818
2010 June,1511,20,566,953,819,231,481,1531,1857
2010 July,1558,15,591,971,856,222,495,1573,1852
2010 August,1619,20,644,983,891,221,526,1638,1900
2010 September,1635,19,668,977,910,222,523,1655,1918
2010 October,1647,21,693,966,919,216,532,1668,1965
2010 November,1661,22,723,950,941,214,528,1683,1971
2010 December,1687,24,759,940,958,217,535,1711,1968
2011 January,1686,26,793,909,968,225,518,1711,2004
2011 February,1692,26,801,907,982,224,512,1718,1990
2011 March,1694,26,830,884,983,229,509,1720,2044
2011 April,1762,28,896,885,1014,221,554,1790,2052
2011 May,1804,32,948,878,1043,227,566,1836,2047
2011 June,1829,34,979,877,1065,235,564,1863,2069
2011 July,1865,35,1014,880,1083,246,572,1900,2116
2011 August,1923,35,1055,894,1125,235,597,1957,2136
2011 September,1946,32,1063,907,1136,239,603,1978,2115
2011 October,1982,35,1077,933,1150,245,623,2017,2100
2011 November,1974,37,1125,880,1153,225,633,2011,2100
2011 December,1961,42,1177,821,1166,215,622,2003,2131
2012 January,1960,43,1208,790,1172,213,617,2003,2154
2012 February,1949,42,1261,723,1168,214,608,1990,2135
2012 March,1935,43,1307,667,1174,224,581,1979,2143
2012 April,1917,44,1329,629,1151,239,571,1962,2157
2012 May,1931,46,1373,600,1182,228,567,1977,2153
2012 June,1923,49,1409,558,1172,231,570,1972,2139
2012 July,1894,51,1419,522,1164,236,545,1944,2140
2012 August,1863,50,1423,487,1155,225,533,1913,2130
2012 September,1808,51,1409,447,1140,204,515,1859,2077
2012 October,1785,49,1407,426,1116,199,519,1834,2102
2012 November,1758,51,1385,421,1108,194,507,1809,2036
2012 December,1733,51,1358,423,1106,185,494,1784,1990
2013 January,1704,52,1318,434,1121,178,457,1756,2112
2013 February,1708,54,1332,426,1140,190,432,1762,2024
2013 March,1705,51,1339,413,1120,202,434,1756,2033
2013 April,1707,49,1374,374,1092,202,462,1755,2039
2013 May,1715,52,1407,353,1093,211,463,1767,2099
2013 June,1706,55,1404,352,1080,241,440,1761,2049
2013 July,1708,58,1396,364,1063,273,430,1766,2039
2013 August,1720,61,1388,386,1074,263,444,1781,2055
2013 September,1695,65,1364,389,1082,247,431,1760,2052
2013 October,1683,61,1364,374,1101,239,404,1744,2061
2013 November,1698,58,1384,366,1117,222,417,1756,2175
2013 December,1710,61,1396,373,1142,225,404,1771,2024
2014 January,1711,58,1403,362,1164,220,384,1769,2066
2014 February,1714,55,1424,341,1181,200,388,1769,2036
2014 March,1750,54,1466,333,1208,207,388,1803,2037
2014 April,1784,52,1515,316,1229,213,393,1835,2028
2014 May,1801,58,1530,325,1246,209,404,1859,2040
2014 June,1804,58,1545,314,1253,224,385,1861,2026
2014 July,1819,57,1560,314,1281,223,372,1876,2044
2014 August,1842,62,1578,324,1319,213,372,1904,2039
2014 September,1866,64,1592,336,1341,216,373,1930,2010
2014 October,1867,58,1593,331,1351,208,366,1925,2024
2014 November,1872,53,1573,351,1369,202,355,1925,2007
2014 December,1824,59,1539,342,1360,193,329,1882,1925
2015 January,1629,53,1362,320,1257,155,270,1683,1826
2015 February,1296,52,1050,296,1010,128,210,1348,1659
2015 March,1066,43,857,250,846,104,159,1109,1566
2015 April,943,33,750,222,758,91,127,976,1512
2015 May,857,32,662,223,687,89,114,889,1460
2015 June,833,28,634,224,663,96,102,861,1481
2015 July,835,31,649,216,657,87,122,866,1485
2015 August,849,34,673,209,674,81,128,883,1456
2015 September,816,32,650,198,644,84,120,848,1399
2015 October,758,33,597,193,593,85,112,791,1345
2015 November,729,31,566,194,581,72,107,760,1303
2015 December,686,24,537,174,557,62,91,711,1283
2016 January,615,28,510,133,504,61,77,643,1170
2016 February,506,26,430,102,426,49,57,532,1058
2016 March,451,27,384,93,373,48,56,477,1023
2016 April,411,26,348,88,336,49,52,437,1000
2016 May,384,24,320,86,315,42,50,407,989
2016 June,396,21,330,86,323,44,49,417,1009
2016 July,429,20,359,88,346,42,61,449,1053
2016 August,464,17,397,82,375,45,62,481,967
2016 September,491,18,416,91,399,48,62,509,1117
2016 October,521,23,436,105,435,52,57,543,1102
2016 November,558,22,462,117,465,52,62,580,1111
2016 December,611,23,507,126,512,53,69,634,1131
2017 January,659,24,542,140,552,59,71,683,1099
2017 February,724,20,593,150,610,68,65,744,1125
2017 March,770,19,634,154,658,62,69,789,1159
2017 April,833,20,685,166,712,65,77,853,1176
2017 May,871,22,714,178,750,66,77,893,1219
2017 June,909,22,747,184,783,69,79,931,1235
2017 July,931,22,765,189,805,75,73,953,1215
2017 August,930,17,764,183,801,78,69,947,1192
2017 September,922,18,752,187,793,78,68,940,1212
2017 October,901,21,741,180,780,78,64,922,1207
2017 November,891,20,738,173,776,74,62,911,1222
2017 December,911,19,748,182,797,69,64,930,1187
2018 January,919,18,750,187,803,72,62,937,1183
2018 February,952,17,788,180,830,71,67,969,1232
2018 March,976,13,799,188,860,68,61,989,1246
2018 April,995,16,817,193,889,68,54,1011,1276
2018 May,1026,20,845,198,919,67,59,1046,1293
2018 June,1037,19,861,193,930,65,61,1056,1321
2018 July,1032,18,861,187,926,67,58,1050,1326
2018 August,1031,19,864,184,919,65,66,1050,1338
2018 September,1033,20,864,187,920,69,64,1053,1347
2018 October,1041,21,870,192,925,70,68,1063,1334
2018 November,1055,22,884,193,933,72,72,1077,1319
2018 December,1054,24,880,198,936,72,70,1077,1294
2019 January,1044,21,866,199,939,61,66,1065,1295
2019 February,1029,20,853,195,920,63,65,1048,1299
2019 March,1001,22,830,193,903,65,55,1023,1292
2019 April,990,22,824,189,887,74,52,1013,1321
2019 May,965,21,802,184,867,71,48,986,1316
2019 June,945,24,790,179,848,70,52,970,1297
2019 July,930,25,782,172,831,68,57,955,1297
2019 August,900,26,760,166,806,68,52,926,1272
2019 September,852,26,726,152,767,61,51,878,1221
2019 October,825,23,708,139,743,54,51,848,1173
2019 November,788,22,678,130,706,54,50,810,1149
2019 December,781,23,673,128,699,52,53,804,1108
2020 January,770,21,671,118,706,46,39,791,1086
2020 February,768,23,678,110,712,46,33,790,1046
2020 March,752,20,663,106,693,49,30,771,802
2020 April,548,18,471,93,512,32,22,565,456
2020 May,335,13,267,79,315,24,9,348,490
2020 June,262,12,196,76,241,21,12,274,549
2020 July,243,12,181,72,218,21,16,255,617
2020 August,237,13,178,70,215,22,13,250,674
2020 September,242,15,181,73,218,21,17,257,741
2020 October,266,14,204,73,240,21,19,280,788
2020 November,298,12,234,74,270,21,19,311,800
2020 December,326,15,260,80,305,20,16,341,811
2021 January,358,16,287,86,334,21,19,374,835
2021 February,381,17,305,91,357,18,23,397,838
2021 March,395,13,315,92,369,15,24,408,923
2021 April,424,12,341,94,396,20,20,436,936
2021 May,439,14,353,100,411,27,16,453,950
2021 June,451,13,367,97,420,26,18,464,960
2021 July,468,16,381,102,435,31,17,483,973
2021 August,486,15,400,100,455,28,18,501,993
2021 September,502,6,407,101,465,16,27,508,991
2021 October,526,12,439,99,481,28,29,538,1006
2021 November,545,15,458,102,503,34,23,560,995
2021 December,565,14,475,105,523,31,26,579,982
2022 January,583,18,490,111,543,35,23,601,995
2022 February,622,14,514,121,578,32,26,636,1000
2022 March,649,12,525,135,605,34,24,662,1035
2022 April,677,13,546,142,632,32,25,690,Not Available
2022 May,701,17,568,149,657,37,25,719,Not Available
2022 June,723,16,583,153,673,39,27,738,Not Available
2022 July,740,16,599,154,687,41,29,757,Not Available
2022 August,746,18,601,160,695,39,30,764,Not Available
2022 September,747,16,598,162,694,44,24,762,Not Available
2022 October,754,14,609,157,704,42,23,768,Not Available
2022 November,763,16,621,156,711,45,23,779,Not Available
2022 December,763,16,623,155,708,45,26,780,Not Available
2023 January,756,16,616,155,701,47,24,772,Not Available
2023 February,742,16,604,153,698,42,18,758,Not Available
2023 March,736,17,591,158,691,47,14,752,Not Available
2023 April,733,19,590,159,685,48,19,752,Not Available
2023 May,707,21,580,144,657,52,19,728,Not Available
2023 June,667,20,551,131,617,51,18,687,Not Available
2023 July,654,19,534,132,602,52,18,672,Not Available
2023 August,629,18,521,121,576,52,19,647,Not Available
2023 September,613,19,510,116,561,55,15,631,Not Available
2023 October,600,23,501,118,556,52,15,623,Not Available
2023 November,599,20,498,117,552,54,13,619,Not Available
2023 December,603,20,501,119,561,49,13,623,Not Available
2024 January,601,20,499,119,561,48,12,620,Not Available
2024 February,603,20,500,120,560,50,13,622,Not Available
2024 March,603,22,507,115,559,53,13,625,Not Available
2024 April,598,19,508,108,555,50,13,617,Not Available
2024 May,582,20,497,101,544,42,17,602,Not Available
2024 June,567,21,486,98,525,44,19,588,Not Available
2024 July,564,22,479,101,519,49,18,586,Not Available
2024 August,566,19,483,97,521,48,16,586,Not Available
2024 September,567,20,486,97,522,50,15,587,Not Available
2024 October,568,18,481,101,517,53,15,585,Not Available
2024 November,570,14,478,101,520,48,16,584,Not Available
